CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2022-10-18 15:01:58.0101402,C:\Windows\System32\winevt\logs\Microsoft-Windows-User Device Registration%4Admin.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\Microsoft-Windows-User Device Registration%4Admin.evtx,69632,97EF85FC04026E8E2C49D4CC32CB2FEBB3F0000C,True,2022-08-05 10:12:09.7953823,2022-10-15 11:28:29.9479236,2022-10-15 11:28:29.9479236,00:00:00
2022-10-18 15:01:58.0101402,C:\Windows\System32\winevt\logs\Microsoft-Windows-User Profile Service%4Operational.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\Microsoft-Windows-User Profile Service%4Operational.evtx,69632,B11CAD77363982F36E36F20447BF3ED761A29471,True,2022-08-05 10:12:08.8110652,2022-10-15 11:28:26.7075874,2022-10-15 11:28:26.7075874,00:00:00
2022-10-18 15:01:58.0413845,C:\Windows\System32\winevt\logs\Microsoft-Windows-VolumeSnapshot-Driver%4Operational.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\Microsoft-Windows-VolumeSnapshot-Driver%4Operational.evtx,69632,649C10363FBF77E076E6E91C457DA7C8B0F39F32,True,2022-08-05 10:12:08.2641428,2022-10-12 03:12:06.1078498,2022-10-12 03:12:06.1078498,00:00:00
2022-10-18 15:01:58.0882624,C:\Windows\System32\winevt\logs\Microsoft-Windows-Wcmsvc%4Operational.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\Microsoft-Windows-Wcmsvc%4Operational.evtx,69632,21DCE85309773E3A7B56A07F9D7AC8ACAD1FC6F9,True,2022-08-05 10:12:09.3892652,2022-10-15 11:40:04.3117568,2022-10-15 11:40:04.3117568,00:00:00
2022-10-18 15:01:58.0882624,C:\Windows\System32\winevt\logs\Microsoft-Windows-WebAuthN%4Operational.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\Microsoft-Windows-WebAuthN%4Operational.evtx,69632,58A6B15599D07E08A3C11880E7C8456BC3B0D50E,True,2022-08-05 10:12:09.4203876,2022-10-12 03:12:06.0610222,2022-10-12 03:12:06.0610222,00:00:00
2022-10-18 15:01:58.1351424,C:\Windows\System32\winevt\logs\Microsoft-Windows-Windows Defender%4Operational.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\Microsoft-Windows-Windows Defender%4Operational.evtx,1052672,96AEE4B4FDD3B67F2DD972B926A3F304E4FF7409,True,2022-08-05 10:12:11.2016380,2022-10-17 03:02:05.1977702,2022-10-17 03:02:05.1977702,00:00:00
2022-10-18 15:01:58.3070534,C:\Windows\System32\winevt\logs\Microsoft-Windows-Windows Firewall With Advanced Security%4Firewall.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\Microsoft-Windows-Windows Firewall With Advanced Security%4Firewall.evtx,1052672,73C38B5020FC50081354C188E9B320EE7F36AB77,True,2022-08-05 10:12:08.8578911,2022-10-16 22:50:52.9841873,2022-10-16 22:50:52.9841873,00:00:00.1094112
2022-10-18 15:01:58.3226968,C:\Windows\System32\winevt\logs\Microsoft-Windows-WindowsSystemAssessmentTool%4Operational.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\Microsoft-Windows-WindowsSystemAssessmentTool%4Operational.evtx,69632,9B5F8120882D3ED73C9A29C9A8536E3CEFFDD9AE,True,2022-09-10 20:47:38.9199427,2022-10-12 03:22:19.8294472,2022-10-12 03:22:19.8294472,00:00:00
2022-10-18 15:01:58.3383209,C:\Windows\System32\winevt\logs\Microsoft-Windows-WindowsUpdateClient%4Operational.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\Microsoft-Windows-WindowsUpdateClient%4Operational.evtx,1052672,37B69460CBDF81F702524A89673197C04D6F2FD2,True,2022-09-10 20:30:40.2134126,2022-10-17 03:02:05.1977702,2022-10-17 03:02:05.1977702,00:00:00
2022-10-18 15:01:58.3539410,C:\Windows\System32\winevt\logs\Microsoft-Windows-WinHttp%4Operational.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\Microsoft-Windows-WinHttp%4Operational.evtx,69632,1DE2DCB40D799DFB5F16621C6303C82C9852596C,True,2022-10-12 03:11:20.1350808,2022-10-12 03:11:20.1350808,2022-10-12 03:11:20.1350808,00:00:00
