system,regkey,reglastwritetime,regtype,regname,regval,path,name,exists,launchedByRunDLL,size,attrhex,attrstr,created,accessed,modified,companyname,filedescription,fileversion,internalname,legalcopyright,originalfilename,productname,productversion,cert_exists,cert_verified,cert_result,cert_comment,cert_signer,cert_type,md5,sha1,sha256
"CrowdResponse","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","2022-09-11T02:45:49Z","expand_sz","SecurityHealth","%windir%\system32\SecurityHealthSystray.exe","C:\Windows\system32\","SecurityHealthSystray.exe","TRUE","FALSE","86016","0x20","ARCHIVE","","","","","","","","","","","","","","","","","","","",""
"CrowdResponse","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run","2022-09-27T21:10:02Z","sz","OneDrive","""C:\Users\azureadmin\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" /background","C:\Users\azureadmin\AppData\Local\Microsoft\OneDrive\","OneDrive.exe","TRUE","FALSE","2630544","0x20","ARCHIVE","","","","","","","","","","","","","","","","","","","",""
